Cars_name,Cars_url,Cars_price,Cars_Brand,Cars_Model,Cars_YOM,Cars_Mileage,Cars_Transmission,Cars_Fuel_Type,Cars_Engine_capacity
Honda Fit Shuttle 2012 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-galle-2795035,4250000,Honda,Fit Shuttle,2012,120000,Automatic,Hybrid,1330
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-kalutara-2794960,3800000,Honda,Fit Gp1,2013,95000,Automatic,Petrol,1330
Honda Fit 2014 Car,https://riyasewana.com/buy/honda-fit-sale-colombo-2794402,3625000,Honda,Fit,2014,90100,Automatic,Petrol,1330
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-galle-2792242,3825000,Honda,Fit GP1,2013,60000,Automatic,Hybrid,1300
Honda Fit Shuttle Gp7 2015 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-batticaloa-2791915,5325000,Honda,Fit Shuttle Gp7,2015,98000,Automatic,Hybrid,1500
Honda Fit Gp5 L Grade 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-colombo-2790180,4450000,Honda,Fit Gp5 L Grade,2014,38000,Automatic,Hybrid,1500
Honda Fit Gp5 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-nittambuwa-2790026,4575000,Honda,Fit Gp5,2014,83000,Automatic,Hybrid,1500
Honda Fit Aria 2003 Car,https://riyasewana.com/buy/honda-fit-aria-sale-kandy-2789695,2885000,Honda,Fit Aria,2003,146000,Automatic,Petrol,1490
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-ambalangoda-2789675,3975000,Honda,FIT GP1,2013,50100,Automatic,Hybrid,1300
Honda Fit 2006 Car,https://riyasewana.com/buy/honda-fit-sale-kurunegala-2789600,2825000,Honda,Fit,2006,165000,Automatic,Petrol,1300
Honda Fit Shuttle 2015 Car,https://riyasewana.com/buy/honda-fit-shuttle-sale-wattala-2788230,4700000,Honda,Fit Shuttle,2015,73000,Automatic,Hybrid,1300
Honda Fit Gp5 S Grade 2014 Car,https://riyasewana.com/buy/honda-fit-gp5-sale-kurunegala-2787035,4590000,Honda,Fit Gp5 S Grade,2014,74000,Automatic,Hybrid,1500
Honda Fit Gp2 Shuttle 2013 Car,https://riyasewana.com/buy/honda-fit-gp2-sale-colombo-2785160,4475000,Honda,Fit GP2 Shuttle,2013,121700,Automatic,Petrol,1490
Honda Fit Gp1 2013 Car,https://riyasewana.com/buy/honda-fit-gp1-sale-colombo-2782777,4100000,Honda,FIT GP1,2013,141000,Automatic,Petrol,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-negombo-2877388,4050000,Toyota,Aqua,2013,67000,Automatic,Petrol,1500
Toyota Aqua S Grade Limited 2014 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-tangalle-2877097,4300000,Toyota,Aqua S Grade Limited,2014,84000,Automatic,Hybrid,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-battaramulla-2876756,4790000,Toyota,Aqua,2015,52000,Automatic,Petrol,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kaduwela-2876347,4070000,Toyota,Aqua,2012,120000,Automatic,Hybrid,1000
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-homagama-2876292,3990000,Toyota,Aqua,2012,75300,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2876079,4178500,Toyota,Aqua,2013,83000,Automatic,Hybrid,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-gampaha-2875965,5100000,Toyota,Aqua,2015,37000,Automatic,Hybrid,1500
Toyota Aqua G Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-galle-2875942,3845000,Toyota,Aqua G Grade,2013,86000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-galle-2875228,4100000,Toyota,Aqua,2012,76000,Automatic,Petrol,1490
Toyota Aqua G Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-mawanella-2875091,4275000,Toyota,Aqua G Grade,2013,60000,Automatic,Petrol,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2874914,4975000,Toyota,Aqua,2015,55000,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2873763,4375000,Toyota,Aqua,2014,140000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kaduwela-2873386,3850000,Toyota,Aqua,2012,140000,Automatic,Hybrid,1500
Toyota Aqua 2016 Car,https://riyasewana.com/buy/toyota-aqua-sale-wattala-2873261,5090000,Toyota,Aqua,2016,88000,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2873178,4350000,Toyota,Aqua,2014,76000,Automatic,Petrol,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-ampara-2872927,5030000,Toyota,Aqua,2015,70000,Automatic,Hybrid,1500
Toyota Aqua G Grade 2016 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-mirigama-2872869,4750000,Toyota,AQUA G GRADE,2016,81000,Automatic,Hybrid,1490
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-chilaw-2872771,4100000,Toyota,Aqua,2013,68000,Automatic,Petrol,1500
Toyota Aqua G 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-kaduwela-2872716,4070000,Toyota,Aqua G,2012,120000,Automatic,Hybrid,1500
Toyota Aqua S Limited 2014 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-kandana-2872476,4300000,Toyota,Aqua S Limited,2014,84000,Automatic,Hybrid,1500
Toyota Aqua S Limited 2015 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-wennappuwa-2872404,4095000,Toyota,Aqua S Limited,2015,89700,Automatic,Hybrid,1490
Toyota Aqua S Limited 2014 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-kurunegala-2872318,4450000,Toyota,Aqua S Limited,2014,98232,Automatic,Petrol,1500
Toyota Aqua S Limited 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-kurunegala-2872151,4195000,Toyota,Aqua S Limited,2013,78000,Automatic,Hybrid,1490
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-galle-2871843,3890000,Toyota,Aqua G Grade,2012,87000,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-colombo-2871757,4300000,Toyota,Aqua,2013,107000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-wennappuwa-2871385,3950000,Toyota,Aqua,2012,95632,Automatic,Hybrid,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-colombo-2871240,5375000,Toyota,Aqua,2015,12900,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-panadura-2871227,4150000,Toyota,Aqua,2013,9100,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2871188,4050000,Toyota,Aqua,2012,120000,Automatic,Petrol,1500
Toyota Aqua G Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-negombo-2870828,4395000,Toyota,Aqua G Grade,2013,82000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-panadura-2870348,3795000,Toyota,Aqua,2012,98000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kadawatha-2870212,3925000,Toyota,Aqua,2012,91000,Automatic,Petrol,1500
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-homagama-2869973,4125000,Toyota,Aqua G GRADE,2012,83000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2869915,3750000,Toyota,Aqua,2012,93500,Automatic,Hybrid,1500
Toyota Aqua S 2014 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-matara-2869858,4200000,Toyota,Aqua S,2014,110000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-beruwala-2869337,3750000,Toyota,Aqua,2012,102000,Automatic,Hybrid,1490
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-kadawatha-2868959,4175000,Toyota,Aqua,2013,86000,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-battaramulla-2868473,4390000,Toyota,Aqua,2013,65000,Automatic,Petrol,1500
Toyota Aqua G Grade 2014 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-hambantota-2868169,3925000,Toyota,AQUA G Grade,2014,78550,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2868046,3765000,Toyota,Aqua,2012,111000,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-galle-2867588,4625000,Toyota,Aqua,2014,99750,Automatic,Hybrid,1490
Toyota Aqua G Grade 2015 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-boralesgamuwa-2867272,4850000,Toyota,Aqua G Grade,2015,91000,Automatic,Hybrid,1500
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-chilaw-2866894,3985000,Toyota,Aqua G Grade,2012,110000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2866716,3975000,Toyota,Aqua,2012,85000,Automatic,Petrol,1500
Toyota Aqua G Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-colombo-2866683,4275000,Toyota,Aqua G Grade,2013,69000,Automatic,Hybrid,1500
Toyota Aqua G 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-malabe-2866310,4070000,Toyota,Aqua G,2012,120000,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-kalutara-2865953,4225000,Toyota,Aqua,2014,103000,Automatic,Petrol,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-colombo-2865715,4400000,Toyota,Aqua,2014,50000,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2865690,4275000,Toyota,Aqua,2014,96000,Automatic,Hybrid,1500
Toyota Aqua G Limited 2015 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-welimada-2864986,4325000,Toyota,Aqua G Limited,2015,64800,Automatic,Hybrid,1500
Toyota Aqua G Limited 2015 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-welimada-2864986,4325000,Toyota,Aqua G Limited,2015,64800,Automatic,Hybrid,1500
Toyota Aqua S 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-dehiwala-mount-lavinia-2864771,4175000,Toyota,Aqua S,2013,135000,Automatic,Petrol,1500
Toyota Aqua G Limited 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-mawanella-2864718,4350000,Toyota,Aqua G Limited,2012,84000,Automatic,Hybrid,1500
Toyota Aqua G Sports 2014 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-pannipitiya-2864690,4490000,Toyota,Aqua G Sports,2014,79800,Automatic,Hybrid,1500
Toyota Aqua S Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-gampaha-2864501,3890000,Toyota,Aqua S Grade,2013,81323,Automatic,Hybrid,1500
Toyota Aqua S 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-wattala-2864453,4025000,Toyota,Aqua S,2013,123000,Automatic,Hybrid,1500
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-anuradapura-2864087,3725000,Toyota,Aqua G Grade,2012,145000,Automatic,Hybrid,1300
Toyota Aqua G Grade 2014 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-kaduwela-2863818,4325000,Toyota,Aqua G Grade,2014,85000,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-gampaha-2863472,4400000,Toyota,Aqua,2013,150000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2863190,4175000,Toyota,Aqua,2012,110000,Automatic,Hybrid,1500
Toyota Aqua S Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-mawanella-2862087,3850000,Toyota,Aqua S Grade,2012,108000,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2861565,4225000,Toyota,Aqua,2014,123700,Automatic,Hybrid,1500
Toyota Aqua G Grade Limited 2014 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-kelaniya-2861326,4990000,Toyota,Aqua G Grade Limited,2014,83100,Automatic,Petrol,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-eheliyagoda-2860722,4750000,Toyota,Aqua,2014,83000,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-avissawella-2860228,3950000,Toyota,Aqua,2013,31000,Automatic,Hybrid,1500
Toyota Aqua S 2011 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-panadura-2860102,3825000,Toyota,Aqua S,2011,142000,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2860049,4295000,Toyota,Aqua,2013,78935,Automatic,Hybrid,1500
Toyota Aqua S 2014 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-kandy-2860016,4275000,Toyota,Aqua S,2014,90000,Automatic,Hybrid,1500
Toyota Aqua Urban 2015 Car,https://riyasewana.com/buy/toyota-aqua-urban-sale-boralesgamuwa-2859674,4990000,Toyota,AQUA URBAN,2015,65318,Automatic,Hybrid,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2859548,4250000,Toyota,Aqua,2015,890000,Automatic,Petrol,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2858059,3850000,Toyota,Aqua,2012,180,Automatic,Hybrid,1500
Toyota Aqua S Limited 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-colombo-2857774,4175000,Toyota,Aqua S Limited,2013,70000,Automatic,Hybrid,1500
Toyota Aqua S Grade 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-gampaha-2857427,4150000,Toyota,Aqua S Grade,2013,83000,Automatic,Hybrid,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2857423,5285000,Toyota,Aqua,2015,46000,Automatic,Hybrid,1500
Toyota Aqua 2016 Car,https://riyasewana.com/buy/toyota-aqua-sale-kandy-2857322,4750000,Toyota,Aqua,2016,80000,Automatic,Petrol,1500
Toyota Aqua G Grade 2015 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-nugegoda-2857148,4725000,Toyota,Aqua G Grade,2015,86000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-matara-2857008,3875000,Toyota,Aqua,2012,120000,Automatic,Hybrid,1500
Toyota Aqua S Limited 2013 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-kurunegala-2856303,4185000,Toyota,Aqua S Limited,2013,78000,Automatic,Hybrid,1490
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-kurunegala-2855376,4800000,Toyota,Aqua,2015,54000,Automatic,Petrol,1490
Toyota Aqua S Limited 2014 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-anuradapura-2855238,4350000,Toyota,AQUA S Limited,2014,83000,Automatic,Hybrid,1490
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-ratnapura-2854829,4275000,Toyota,Aqua G Grade,2012,100200,Automatic,Hybrid,1490
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-wennappuwa-2854823,3990000,Toyota,Aqua,2012,123000,Automatic,Hybrid,1490
Toyota Aquaregistered Year 2013 Car,https://riyasewana.com/buy/toyota-aquaregistered-year-sale-boralesgamuwa-2854685,3940000,Toyota,AQUARegistered Year,2013,75000,Automatic,Petrol,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-wennappuwa-2854471,4090000,Toyota,Aqua,2013,96000,Automatic,Hybrid,1500
Toyota Aqua G 2014 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-kurunegala-2854455,4375000,Toyota,Aqua G,2014,87000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-gampaha-2854079,3975000,Toyota,Aqua,2012,107000,Automatic,Petrol,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-boralesgamuwa-2853924,4260000,Toyota,Aqua,2014,70000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-polgahawela-2853882,3790000,Toyota,Aqua,2012,130000,Automatic,Petrol,1500
Toyota Aqua X Urban 2015 Car,https://riyasewana.com/buy/toyota-aqua-x-sale-ampara-2853086,5100000,Toyota,Aqua X Urban,2015,61000,Automatic,Hybrid,1500
Toyota Aqua G Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-colombo-2853052,3890000,Toyota,AQUA G Grade,2012,80700,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-dehiwala-mount-lavinia-2852266,4090000,Toyota,Aqua,2013,64820,Automatic,Hybrid,1490
Toyota Aqua 2017 Car,https://riyasewana.com/buy/toyota-aqua-sale-chilaw-2851536,6275000,Toyota,Aqua,2017,27400,Automatic,Hybrid,1500
Toyota Aqua S Grade 2012 Car,https://riyasewana.com/buy/toyota-aqua-s-sale-panadura-2851415,3800000,Toyota,Aqua S Grade,2012,135000,Automatic,Hybrid,1490
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-bandarawela-2851380,4490000,Toyota,Aqua,2014,80000,Automatic,Hybrid,1500
Toyota Aqua 2013 Car,https://riyasewana.com/buy/toyota-aqua-sale-anuradapura-2850988,4250000,Toyota,Aqua,2013,93000,Automatic,Hybrid,1500
Toyota Aqua G 2013 Car,https://riyasewana.com/buy/toyota-aqua-g-sale-homagama-2850489,4300000,Toyota,Aqua G,2013,74000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kalutara-2850463,4060000,Toyota,AQUA,2012,89000,Automatic,Petrol,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-kurunegala-2848243,4200000,Toyota,Aqua,2012,80000,Automatic,Petrol,1500
Toyota Aqua 2015 Car,https://riyasewana.com/buy/toyota-aqua-sale-tangalle-2848076,4800000,Toyota,Aqua,2015,63500,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-boralesgamuwa-2847850,4290000,Toyota,Aqua,2014,91452,Automatic,Hybrid,1500
Toyota Aqua 2014 Car,https://riyasewana.com/buy/toyota-aqua-sale-homagama-2847690,3775000,Toyota,AQUA,2014,58000,Automatic,Hybrid,1500
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-nugegoda-2847414,4190000,Toyota,Aqua,2012,93000,Automatic,Petrol,1499
Toyota Aqua 2012 Car,https://riyasewana.com/buy/toyota-aqua-sale-panadura-2846683,3900000,Toyota,Aqua,2012,120000,Automatic,Hybrid,1500
